Model,permno,evtdate,cret,car,bhar,nrets,nrets_est
Market-Adjusted Model,11285,2022-11-17,0.1025524158,0.0195509912,0.0220392587,21,100
Market-Adjusted Model,11292,2022-11-17,-0.130272726,-0.20293595,-0.210785883,21,100
Market-Adjusted Model,11293,2022-11-17,0.0175038677,-0.061118472,-0.063009289,21,100
Market-Adjusted Model,11308,2022-11-17,0.1017703757,0.0179095961,0.0212572185,21,100
Market-Adjusted Model,11368,2022-11-17,0.1433270296,0.0602612988,0.0628138724,21,100
Market-Adjusted Model,11369,2022-11-17,0.0139249502,-0.064999438,-0.066588207,21,100
Market-Adjusted Model,11370,2022-11-17,0.2625466536,0.1630882126,0.1820334965,21,100
Market-Adjusted Model,11379,2022-11-17,0.0382848419,-0.031945782,-0.042228315,21,100
Market-Adjusted Model,11394,2022-11-17,0.238541652,0.1931185874,0.1580284948,21,100
Market-Adjusted Model,11397,2022-11-17,0.0525534992,-0.026755869,-0.027959658,21,100
Market-Adjusted Model,11403,2022-11-17,0.1884347454,0.100684571,0.1079215882,21,100
Market-Adjusted Model,11404,2022-11-17,0.1133360607,0.0295779884,0.0328229035,21,100
Market-Adjusted Model,11407,2022-11-17,0.0491044945,-0.025289168,-0.031408663,21,100
Market-Adjusted Model,11442,2022-11-17,0.0323664167,-0.04724107,-0.048146741,21,100
Market-Adjusted Model,11481,2022-11-17,0.0516003721,0.0874870947,-0.028912785,21,100
Market-Adjusted Model,11499,2022-11-17,0.0463121747,-0.028285382,-0.034200982,21,100
Market-Adjusted Model,11511,2022-11-17,0.0064935029,-0.063677723,-0.074019654,21,100
Market-Adjusted Model,11533,2022-11-17,0.3884245997,0.2937919012,0.3079114425,21,100
Market-Adjusted Model,11547,2022-11-17,0.1979829855,0.1166747661,0.1174698284,21,100
Market-Adjusted Model,11565,2022-11-17,0.062584141,-0.015502928,-0.017929016,21,100
Market-Adjusted Model,11581,2022-11-17,-0.012966597,-0.090607579,-0.093479754,21,100
Market-Adjusted Model,11587,2022-11-17,0.0263248623,-0.042669612,-0.054188295,21,100
Market-Adjusted Model,11593,2022-11-17,0.0384615721,-0.030517583,-0.042051585,21,100
Market-Adjusted Model,11600,2022-11-17,0.1242015586,0.0459812906,0.0436884014,21,100
Market-Adjusted Model,11618,2022-11-17,0.0712352034,-0.008471983,-0.009277954,21,100
Market-Adjusted Model,11628,2022-11-17,0.0922635625,0.0122035333,0.0117504054,21,100
Market-Adjusted Model,11636,2022-11-17,-0.258064524,-0.35045904,-0.338577682,21,100
Market-Adjusted Model,11644,2022-11-17,-0.092991791,-0.158686429,-0.173504948,21,100
Market-Adjusted Model,11654,2022-11-17,-0.083529418,-0.157658693,-0.164042575,21,100
Market-Adjusted Model,11664,2022-11-17,0.0798927519,0.0109516361,-0.000620405,21,100
Market-Adjusted Model,11674,2022-11-17,0.0363898484,-0.042739354,-0.044123309,21,100
Market-Adjusted Model,11691,2022-11-17,-0.088669556,-0.160263686,-0.169182713,21,100
Market-Adjusted Model,11701,2022-11-17,0.1139604015,0.029802168,0.0334472444,21,100
Market-Adjusted Model,11731,2022-11-17,0.1235179894,0.0401004226,0.0430048322,21,100
Market-Adjusted Model,11748,2022-11-17,-0.036284958,-0.108802708,-0.116798115,21,100
Market-Adjusted Model,11752,2022-11-17,0.1529304762,0.0875037151,0.0724173191,21,100
Market-Adjusted Model,11762,2022-11-17,0.089943066,0.0076573153,0.0094299088,21,100
Market-Adjusted Model,11775,2022-11-17,0.1275696361,0.0457696789,0.0470564789,21,100
Market-Adjusted Model,11786,2022-11-17,0.0557145911,-0.007158533,-0.024798566,21,100
Market-Adjusted Model,11790,2022-11-17,-0.037615565,-0.115894557,-0.118128722,21,100
Market-Adjusted Model,11803,2022-11-17,-0.067796631,-0.137333642,-0.148309788,21,100
Market-Adjusted Model,11809,2022-11-17,0.0402616596,-0.032464281,-0.040251498,21,100
Market-Adjusted Model,11825,2022-11-17,0,0.01016,0.01016,1,100
Market-Adjusted Model,11844,2022-11-17,0.0327727555,-0.046687327,-0.047740402,21,100
Market-Adjusted Model,11845,2022-11-17,0.2197726847,0.123124663,0.1392595276,21,100
Market-Adjusted Model,11850,2022-11-17,0.0103259364,-0.067108441,-0.070187221,21,100
Market-Adjusted Model,11884,2022-11-17,0.2567994307,0.1555055912,0.1762862735,21,100
Market-Adjusted Model,11891,2022-11-17,0.0561094095,-0.012708009,-0.024403748,21,100
Market-Adjusted Model,11955,2022-11-17,0.0982328527,0.0144112826,0.0177196955,21,100
Market-Adjusted Model,11990,2022-11-17,0.0512368728,-0.017234171,-0.029276284,21,100
Market-Adjusted Model,11995,2022-11-17,0.1102928349,0.0291977976,0.0297796778,21,100
Market-Adjusted Model,11996,2022-11-17,0.0880859809,0.0049183689,0.0075728237,21,100
Market-Adjusted Model,12008,2022-11-17,-0.222317092,-0.30391346,-0.302830249,21,100
Market-Adjusted Model,12009,2022-11-17,0.1861198395,0.0987394954,0.1056066824,21,100
Market-Adjusted Model,12015,2022-11-17,0.0461559969,-0.032347894,-0.03435716,21,100
Market-Adjusted Model,12017,2022-11-17,-0.226365482,-0.287744789,-0.306878639,21,100
Market-Adjusted Model,12034,2022-11-17,0.09651893,0.013381132,0.0160057728,21,100
Market-Adjusted Model,12035,2022-11-17,-0.015020358,-0.093565642,-0.095533515,21,100
Market-Adjusted Model,12036,2022-11-17,0.0954638043,0.0131058921,0.0149506471,21,100
Market-Adjusted Model,12039,2022-11-17,0.1095603708,0.0281707566,0.0290472136,21,100
Market-Adjusted Model,12049,2022-11-17,0.1250000372,0.0449300149,0.04448688,21,100
Market-Adjusted Model,12052,2022-11-17,0.0380322705,-0.041477322,-0.042480887,21,100
Market-Adjusted Model,12054,2022-11-17,0.0613197391,-0.01964188,-0.019193418,21,100
Market-Adjusted Model,12059,2022-11-17,0.0360418013,-0.044726,-0.044471356,21,100
Market-Adjusted Model,12060,2022-11-17,0.1224805619,0.0380717951,0.0419674047,21,100
Market-Adjusted Model,12062,2022-11-17,0.0788290115,-0.000255146,-0.001684146,21,100
Market-Adjusted Model,12064,2022-11-17,0.0105193724,-0.069888776,-0.069993785,21,100
Market-Adjusted Model,12065,2022-11-17,0.0396538496,-0.040988096,-0.040859308,21,100
Market-Adjusted Model,12066,2022-11-17,0.0072513177,-0.071364918,-0.073261839,21,100
Market-Adjusted Model,12068,2022-11-17,-0.004709553,-0.082292668,-0.08522271,21,100
Market-Adjusted Model,12070,2022-11-17,0.0993671089,0.0187094203,0.0188539517,21,100
Market-Adjusted Model,12075,2022-11-17,0.0697514596,-0.012086502,-0.010761698,21,100
Market-Adjusted Model,12076,2022-11-17,-0.034856294,-0.102725759,-0.115369451,21,100
Market-Adjusted Model,12078,2022-11-17,-0.055028455,-0.133840147,-0.135541612,21,100
Market-Adjusted Model,12082,2022-11-17,0.075651911,-0.000641867,-0.004861246,21,100
Market-Adjusted Model,12084,2022-11-17,0.1510665293,0.0733320398,0.0705533721,21,100
Market-Adjusted Model,12098,2022-11-17,0.1324100472,0.0476174398,0.05189689,21,100
Market-Adjusted Model,12103,2022-11-17,0.0730731027,-0.008694871,-0.007440054,21,100
Market-Adjusted Model,12105,2022-11-17,0.1552162669,0.0681477119,0.0747031097,21,100
Market-Adjusted Model,12109,2022-11-17,-0.110515169,-0.186306852,-0.191028326,21,100
Market-Adjusted Model,12146,2022-11-17,-0.007142886,-0.082256938,-0.087656043,21,100
Market-Adjusted Model,12166,2022-11-17,-0.080882365,-0.155968608,-0.161395522,21,100
Market-Adjusted Model,12189,2022-11-17,0.1640581517,0.0803222187,0.0835449945,21,100
Market-Adjusted Model,12209,2022-11-17,0.1675213751,0.0876663309,0.087008218,21,100
Market-Adjusted Model,12211,2022-11-17,0.080749821,-0.000123194,0.0002366639,21,100
Market-Adjusted Model,12219,2022-11-17,0.2418720405,0.1434582595,0.1613588833,21,100
Market-Adjusted Model,12226,2022-11-17,0.1734938188,0.0854098799,0.0929806617,21,100
Market-Adjusted Model,12266,2022-11-17,0.0774786775,0.018067216,-0.00303448,21,100
Market-Adjusted Model,12287,2022-11-17,0.1118643776,0.0275825506,0.0313512205,21,100
Market-Adjusted Model,12289,2022-11-17,0.0587568927,-0.022512875,-0.021756264,21,100
Market-Adjusted Model,12292,2022-11-17,0.116712821,0.0338874179,0.0361996638,21,100
Market-Adjusted Model,12294,2022-11-17,0.0968577789,0.0169690539,0.0163446217,21,100
Market-Adjusted Model,12295,2022-11-17,0.0760422821,-0.005543659,-0.004470875,21,100
Market-Adjusted Model,12296,2022-11-17,0.0686965139,-0.011379146,-0.011816643,21,100
Market-Adjusted Model,12297,2022-11-17,0.081705874,0.0016716357,0.0011927168,21,100
Market-Adjusted Model,12301,2022-11-17,0.0744571468,-0.005547178,-0.00605601,21,100
Market-Adjusted Model,12302,2022-11-17,0.0836683065,0.0022670996,0.0031551493,21,100
Market-Adjusted Model,12303,2022-11-17,0.0883447282,0.0079085596,0.0078315711,21,100
Market-Adjusted Model,12304,2022-11-17,0.0865870248,0.0055396326,0.0060738676,21,100
Market-Adjusted Model,12305,2022-11-17,0.0856313471,0.0045235016,0.0051181899,21,100
Market-Adjusted Model,12307,2022-11-17,-0.352727284,-0.328147781,-0.433240441,21,100
Market-Adjusted Model,12308,2022-11-17,0.1308730429,0.0486781586,0.0503598857,21,100
Market-Adjusted Model,12310,2022-11-17,0.3584070533,0.2704948077,0.2778938961,21,100
Market-Adjusted Model,12313,2022-11-17,0.0821061444,0.001537619,0.0015929872,21,100
